Item,Description,Proper,Vender Desc,UM,UL,Crew,Output,Material,Labor,Equipment,Total
32-31-13-00-2060,"Barbed wire w/hangers, 6 Strand",               6 Strand,"Barbed wire w/hangers, 6 Strand",LF,0.067,LAB,120,5.62,5.17,,$10.79
32-31-13-00-2080,"         Corner, or gate post, 4' high","         Corner, or gate post, 4' high",,,,,,,,,
32-31-13-00-2100,"Corner, or gate post, 4' high, 3"" dia","               3"" dia.","Corner, or gate post, 4' high, 3"" dia",EA,0.267,LAB,30,123.2,20.68,,$143.88
32-31-13-00-2110,"Corner, or gate post, 4' high, 4"" dia","               4"" dia.","Corner, or gate post, 4' high, 4"" dia",EA,0.267,LAB,30,184.8,20.68,,$205.48
32-31-13-00-2120,"Corner, or gate post, 4' high, 6"" dia","               6"" dia.","Corner, or gate post, 4' high, 6"" dia",EA,0.32,LAB,25,211.2,24.86,,$236.06
32-31-13-00-2160,"         Gate, with posts, 3' wide","         Gate, with posts, 3' wide",,,,,,,,,
32-31-13-00-2180,"Gate, with posts, 3' wide, 4' high",               4' high,"Gate, with posts, 3' wide, 4' high",EA,2,LAB,4,167.2,158.4,,$325.60
32-31-13-00-2190,"Gate, with posts, 3' wide, 5' high",               5' high,"Gate, with posts, 3' wide, 5' high",EA,2.667,LAB,3,202.4,202.4,,$404.80
32-31-13-00-2200,"Gate, with posts, 3' wide, 6' high",               6' high,"Gate, with posts, 3' wide, 6' high",EA,2.667,LAB,3,228.8,202.4,,$431.20
32-31-13-00-2210,"Gate, with posts, 3' wide, 7' high",               7' high,"Gate, with posts, 3' wide, 7' high",EA,4,LAB,2,264,308,,$572.00
32-31-13-00-2220,"Gate, with posts, 3' wide, 8' high",               8' high,"Gate, with posts, 3' wide, 8' high",EA,4,LAB,2,299.2,308,,$607.20
32-31-13-00-2500,"         Line post, no rail fitting, 2-1/2"" dia.","         Line post, no rail fitting, 2-1/2"" dia.",,,,,,,,,
32-31-13-00-2510,"Line post, no rail fitting, 2-1/2"" dia, 4' high",               4' high,"Line post, no rail fitting, 2-1/2"" dia, 4' high",EA,0.229,LAB,35,31.46,17.82,,$49.28
32-31-13-00-2520,"Line post, no rail fitting, 2-1/2"" dia, 5' high",               5' high,"Line post, no rail fitting, 2-1/2"" dia, 5' high",EA,0.25,LAB,32,34.1,19.36,,$53.46
32-31-13-00-2530,"Line post, no rail fitting, 2-1/2"" dia, 6' high",               6' high,"Line post, no rail fitting, 2-1/2"" dia, 6' high",EA,0.267,LAB,30,37.4,20.68,,$58.08
32-31-13-00-2540,"Line post, no rail fitting, 2-1/2"" dia, 7' high",               7' high,"Line post, no rail fitting, 2-1/2"" dia, 7' high",EA,0.32,LAB,25,42.46,24.86,,$67.32
32-31-13-00-2550,"Line post, no rail fitting, 2-1/2"" dia, 8' high",               8' high,"Line post, no rail fitting, 2-1/2"" dia, 8' high",EA,0.4,LAB,20,47.52,31.02,,$78.54
32-31-13-00-2600,"         Corner post, no top rail fitting, 4"" dia.","         Corner post, no top rail fitting, 4"" dia.",,,,,,,,,
32-31-13-00-2610,"Corner post, no top rail fitting, 4"" dia, 4' high",               4' high,"Corner post, no top rail fitting, 4"" dia, 4' high",EA,0.267,LAB,30,167.2,20.68,,$187.88
32-31-13-00-2620,"Corner post, no top rail fitting, 4"" dia, 5' high",               5' high,"Corner post, no top rail fitting, 4"" dia, 5' high",EA,0.296,LAB,27,193.6,22.88,,$216.48
32-31-13-00-2630,"Corner post, no top rail fitting, 4"" dia, 6' high",               6' high,"Corner post, no top rail fitting, 4"" dia, 6' high",EA,0.348,LAB,23,211.2,27.06,,$238.26
32-31-13-00-2640,"Corner post, no top rail fitting, 4"" dia, 7' high",               7' high,"Corner post, no top rail fitting, 4"" dia, 7' high",EA,0.4,LAB,20,237.6,31.02,,$268.62
32-31-13-00-2650,"Corner post, no top rail fitting, 4"" dia, 8' high",               8' high,"Corner post, no top rail fitting, 4"" dia, 8' high",EA,0.444,LAB,18,255.2,34.54,,$289.74
32-31-13-00-3000,"         Fabric, vinyl, chain link, 2"" mesh, 9 ga.","         Fabric, vinyl, chain link, 2"" mesh, 9 ga.",,,,,,,,,
32-31-13-00-3010,"Fabric, vinyl, 2"" mesh, 9 ga, 4' high",               4' high,"Fabric, vinyl, 2"" mesh, 9 ga, 4' high",LF,0.027,LAB,300,5.42,2.06,,$7.48
32-31-13-00-3020,"Fabric, vinyl, 2"" mesh, 9 ga, 5' high",               5' high,"Fabric, vinyl, 2"" mesh, 9 ga, 5' high",LF,0.032,LAB,250,6.63,2.47,,$9.10
32-31-13-00-3030,"Fabric, vinyl, 2"" mesh, 9 ga, 6' high",               6' high,"Fabric, vinyl, 2"" mesh, 9 ga, 6' high",LF,0.04,LAB,200,9.24,3.1,,$12.34
32-31-13-00-3040,"Fabric, vinyl, 2"" mesh, 9 ga, 8' high",               8' high,"Fabric, vinyl, 2"" mesh, 9 ga, 8' high",LF,0.053,LAB,150,15.4,4.13,,$19.53
32-31-13-00-8000,"      Swing gates, galvanized, 4' high","      Swing gates, galvanized, 4' high",,,,,,,,,
32-31-13-00-8010,            Single gate,            Single gate,,,,,,,,,
32-31-13-00-8020,"Chain link gate, swing, single, 3' wide, 4'high",               3' wide,"Chain link gate, swing, single, 3' wide, 4'high",EA,2,LAB,4,220,158.4,,$378.40
32-31-13-00-8025,"Chain link gate, swing, single, 4' wide, 4'high",               4' wide,"Chain link gate, swing, single, 4' wide, 4'high",EA,2,LAB,4,246.4,158.4,,$404.80
32-31-13-00-8028,            Double gate,            Double gate,,,,,,,,,
32-31-13-00-8030,"Chain link gate, swing, double, 10' wide, 4'high",               10' wide,"Chain link gate, swing, double, 10' wide, 4'high",EA,3.2,LAB,2.5,572,246.4,,$818.40
32-31-13-00-8035,"Chain link gate, swing, double, 12' wide, 4'high",               12' wide,"Chain link gate, swing, double, 12' wide, 4'high",EA,3.2,LAB,2.5,624.8,246.4,,$871.20
32-31-13-00-8040,"Chain link gate, swing, double, 14' wide, 4'high",               14' wide,"Chain link gate, swing, double, 14' wide, 4'high",EA,3.2,LAB,2.5,633.6,246.4,,$880.00
32-31-13-00-8045,"Chain link gate, swing, double, 16' wide, 4'high",               16' wide,"Chain link gate, swing, double, 16' wide, 4'high",EA,3.2,LAB,2.5,712.8,246.4,,$959.20
32-31-13-00-8050,"Chain link gate, swing, double, 18' wide, 4'high",               18' wide,"Chain link gate, swing, double, 18' wide, 4'high",EA,4.571,LAB,1.75,765.6,352,,"$1,117.60"
32-31-13-00-8055,"Chain link gate, swing, double, 20' wide, 4'high",               20' wide,"Chain link gate, swing, double, 20' wide, 4'high",EA,4.571,LAB,1.75,809.6,352,,"$1,161.60"
32-31-13-00-8060,"Chain link gate, swing, double, 22' wide, 4'high",               22' wide,"Chain link gate, swing, double, 22' wide, 4'high",EA,4.571,LAB,1.75,897.6,352,,"$1,249.60"
32-31-13-00-8065,"Chain link gate, swing, double, 24' wide, 4'high",               24' wide,"Chain link gate, swing, double, 24' wide, 4'high",EA,5.333,LAB,1.5,924,413.6,,"$1,337.60"
32-31-13-00-8070,"Chain link gate, swing, double, 26' wide, 4'high",               26' wide,"Chain link gate, swing, double, 26' wide, 4'high",EA,5.333,LAB,1.5,959.2,413.6,,"$1,372.80"
32-31-13-00-8075,"Chain link gate, swing, double, 28' wide, 4'high",               28' wide,"Chain link gate, swing, double, 28' wide, 4'high",EA,6.4,LAB,1.25,1020.8,492.8,,"$1,513.60"
32-31-13-00-8080,"Chain link gate, swing, double, 30' wide, 4'high",               30' wide,"Chain link gate, swing, double, 30' wide, 4'high",EA,6.4,LAB,1.25,1091.2,492.8,,"$1,584.00"
32-31-13-00-8085,         5' high,         5' high,,,,,,,,,
32-31-13-00-8088,            Single gate,            Single gate,,,,,,,,,
32-31-13-00-8090,"Chain link gate, swing, single, 5' high, 3' wide",               3' wide,"Chain link gate, swing, single, 5' high, 3' wide",EA,2.667,LAB,3,228.8,202.4,,$431.20
32-31-13-00-8095,"Chain link gate, swing, single, 5' high, 4' wide",               4' wide,"Chain link gate, swing, single, 5' high, 4' wide",EA,2.667,LAB,3,264,202.4,,$466.40
32-31-13-00-8098,            Double gate,            Double gate,,,,,,,,,
32-31-13-00-8100,"Chain link gate, swing, double, 5' high, 10' wide",               10' wide,"Chain link gate, swing, double, 5' high, 10' wide",EA,4,LAB,2,624.8,308,,$932.80
32-31-13-00-8105,"Chain link gate, swing, double, 5' high, 12' wide",               12' wide,"Chain link gate, swing, double, 5' high, 12' wide",EA,4,LAB,2,660,308,,$968.00
32-31-13-00-8110,"Chain link gate, swing, double, 5' high, 14' wide",               14' wide,"Chain link gate, swing, double, 5' high, 14' wide",EA,4,LAB,2,1135.2,308,,"$1,443.20"
32-31-13-00-8115,"Chain link gate, swing, double, 5' high, 16' wide",               16' wide,"Chain link gate, swing, double, 5' high, 16' wide",EA,4,LAB,2,748,308,,"$1,056.00"
32-31-13-00-8120,"Chain link gate, swing, double, 5' high, 18' wide",               18' wide,"Chain link gate, swing, double, 5' high, 18' wide",EA,4.571,LAB,1.75,765.6,352,,"$1,117.60"
32-31-13-00-8125,"Chain link gate, swing, double, 5' high, 20' wide",               20' wide,"Chain link gate, swing, double, 5' high, 20' wide",EA,4.571,LAB,1.75,871.2,352,,"$1,223.20"
32-31-13-00-8130,"Chain link gate, swing, double, 5' high, 22' wide",               22' wide,"Chain link gate, swing, double, 5' high, 22' wide",EA,4.571,LAB,1.75,906.4,352,,"$1,258.40"
32-31-13-00-8135,"Chain link gate, swing, double, 5' high, 24' wide",               24' wide,"Chain link gate, swing, double, 5' high, 24' wide",EA,5.333,LAB,1.5,950.4,413.6,,"$1,364.00"
32-31-13-00-8140,"Chain link gate, swing, double, 5' high, 26' wide",               26' wide,"Chain link gate, swing, double, 5' high, 26' wide",EA,5.333,LAB,1.5,994.4,413.6,,"$1,408.00"
32-31-13-00-8145,"Chain link gate, swing, double, 5' high, 28' wide",               28' wide,"Chain link gate, swing, double, 5' high, 28' wide",EA,6.4,LAB,1.25,1108.8,492.8,,"$1,601.60"
32-31-13-00-8150,"Chain link gate, swing, double, 5' high, 30' wide",               30' wide,"Chain link gate, swing, double, 5' high, 30' wide",EA,6.4,LAB,1.25,1144,492.8,,"$1,636.80"
32-31-13-00-8155,         6' high,         6' high,,,,,,,,,
32-31-13-00-8158,            Single gate,            Single gate,,,,,,,,,
32-31-13-00-8160,"Chain link gate, swing, single, 6' high, 3' wide",               3' wide,"Chain link gate, swing, single, 6' high, 3' wide",EA,2.667,LAB,3,290.4,202.4,,$492.80
32-31-13-00-8165,"Chain link gate, swing, single, 6' high, 4' wide",               4' wide,"Chain link gate, swing, single, 6' high, 4' wide",EA,2.667,LAB,3,316.8,202.4,,$519.20
32-31-13-00-8168,            Double gate,            Double gate,,,,,,,,,
32-31-13-00-8170,"Chain link gate, swing, double, 6' high, 10' wide",               10' wide,"Chain link gate, swing, double, 6' high, 10' wide",EA,4,LAB,2,704,308,,"$1,012.00"
32-31-13-00-8175,"Chain link gate, swing, double, 6' high, 12' wide",               12' wide,"Chain link gate, swing, double, 6' high, 12' wide",EA,4,LAB,2,792,308,,"$1,100.00"
32-31-13-00-8180,"Chain link gate, swing, double, 6' high, 14' wide",               14' wide,"Chain link gate, swing, double, 6' high, 14' wide",EA,4,LAB,2,844.8,308,,"$1,152.80"
32-31-13-00-8185,"Chain link gate, swing, double, 6' high, 16' wide",               16' wide,"Chain link gate, swing, double, 6' high, 16' wide",EA,4,LAB,2,906.4,308,,"$1,214.40"
32-31-13-00-8190,"Chain link gate, swing, double, 6' high, 18' wide",               18' wide,"Chain link gate, swing, double, 6' high, 18' wide",EA,4.571,LAB,1.75,976.8,352,,"$1,328.80"
32-31-13-00-8195,"Chain link gate, swing, double, 6' high, 20' wide",               20' wide,"Chain link gate, swing, double, 6' high, 20' wide",EA,4.571,LAB,1.75,1003.2,352,,"$1,355.20"
32-31-13-00-8200,"Chain link gate, swing, double, 6' high, 22' wide",               22' wide,"Chain link gate, swing, double, 6' high, 22' wide",EA,4.571,LAB,1.75,1082.4,352,,"$1,434.40"
32-31-13-00-8205,"Chain link gate, swing, double, 6' high, 24' wide",               24' wide,"Chain link gate, swing, double, 6' high, 24' wide",EA,5.333,LAB,1.5,1161.6,413.6,,"$1,575.20"
32-31-13-00-8210,"Chain link gate, swing, double, 6' high, 26' wide",               26' wide,"Chain link gate, swing, double, 6' high, 26' wide",EA,5.333,LAB,1.5,1196.8,413.6,,"$1,610.40"
32-31-13-00-8215,"Chain link gate, swing, double, 6' high, 28' wide",               28' wide,"Chain link gate, swing, double, 6' high, 28' wide",EA,6.4,LAB,1.25,1302.4,492.8,,"$1,795.20"
32-31-13-00-8220,"Chain link gate, swing, double, 6' high, 30' wide",               30' wide,"Chain link gate, swing, double, 6' high, 30' wide",EA,6.4,LAB,1.25,1364,492.8,,"$1,856.80"
32-31-13-00-8225,         7' high,         7' high,,,,,,,,,
32-31-13-00-8228,            Single gate,            Single gate,,,,,,,,,
32-31-13-00-8230,"Chain link gate, swing, single, 7' high, 3' wide",               3' wide,"Chain link gate, swing, single, 7' high, 3' wide",EA,4,LAB,2,352,308,,$660.00
32-31-13-00-8235,"Chain link gate, swing, single, 7' high, 4' wide",               4' wide,"Chain link gate, swing, single, 7' high, 4' wide",EA,4,LAB,2,396,308,,$704.00
32-31-13-00-8238,            Double gate,            Double gate,,,,,,,,,
32-31-13-00-8240,"Chain link gate, swing, double, 7' high, 10' wide",               10' wide,"Chain link gate, swing, double, 7' high, 10' wide",EA,5.333,LAB,1.5,915.2,413.6,,"$1,328.80"
32-31-13-00-8245,"Chain link gate, swing, double, 7' high, 12' wide",               12' wide,"Chain link gate, swing, double, 7' high, 12' wide",EA,5.333,LAB,1.5,1003.2,413.6,,"$1,416.80"
32-31-13-00-8250,"Chain link gate, swing, double, 7' high, 14' wide",               14' wide,"Chain link gate, swing, double, 7' high, 14' wide",EA,5.333,LAB,1.5,1082.4,413.6,,"$1,496.00"
32-31-13-00-8255,"Chain link gate, swing, double, 7' high, 16' wide",               16' wide,"Chain link gate, swing, double, 7' high, 16' wide",EA,5.333,LAB,1.5,1152.8,413.6,,"$1,566.40"
32-31-13-00-8260,"Chain link gate, swing, double, 7' high, 18' wide",               18' wide,"Chain link gate, swing, double, 7' high, 18' wide",EA,6.4,LAB,1.25,1232,492.8,,"$1,724.80"
32-31-13-00-8265,"Chain link gate, swing, double, 7' high, 20' wide",               20' wide,"Chain link gate, swing, double, 7' high, 20' wide",EA,6.4,LAB,1.25,1302.4,492.8,,"$1,795.20"
32-31-13-00-8270,"Chain link gate, swing, double, 7' high, 22' wide",               22' wide,"Chain link gate, swing, double, 7' high, 22' wide",EA,6.4,LAB,1.25,1381.6,492.8,,"$1,874.40"
32-31-13-00-8275,"Chain link gate, swing, double, 7' high, 24' wide",               24' wide,"Chain link gate, swing, double, 7' high, 24' wide",EA,8,LAB,1,1478.4,616,,"$2,094.40"
32-31-13-00-8280,"Chain link gate, swing, double, 7' high, 26' wide",               26' wide,"Chain link gate, swing, double, 7' high, 26' wide",EA,8,LAB,1,1575.2,616,,"$2,191.20"
32-31-13-00-8285,"Chain link gate, swing, double, 7' high, 28' wide",               28' wide,"Chain link gate, swing, double, 7' high, 28' wide",EA,10,LAB,0.8,1663.2,774.4,,"$2,437.60"
32-31-13-00-8290,"Chain link gate, swing, double, 7' high, 30' wide",               30' wide,"Chain link gate, swing, double, 7' high, 30' wide",EA,10,LAB,0.8,1900.8,774.4,,"$2,675.20"
32-31-13-00-8295,         8' high,         8' high,,,,,,,,,
32-31-13-00-8298,            Single gate,            Single gate,,,,,,,,,
32-31-13-00-8300,"Chain link gate, swing, single, 8' high, 3' wide",               3' wide,"Chain link gate, swing, single, 8' high, 3' wide",EA,4,LAB,2,396,308,,$704.00
32-31-13-00-8305,"Chain link gate, swing, single, 8' high, 4' wide",               4' wide,"Chain link gate, swing, single, 8' high, 4' wide",EA,4,LAB,2,431.2,308,,$739.20
32-31-13-00-8308,            Double gate,            Double gate,,,,,,,,,
32-31-13-00-8310,"Chain link gate, swing, double, 8' high, 10' wide",               10' wide,"Chain link gate, swing, double, 8' high, 10' wide",EA,5.333,LAB,1.5,1047.2,413.6,,"$1,460.80"
32-31-13-00-8315,"Chain link gate, swing, double, 8' high, 12' wide",               12' wide,"Chain link gate, swing, double, 8' high, 12' wide",EA,5.333,LAB,1.5,1108.8,413.6,,"$1,522.40"
32-31-13-00-8320,"Chain link gate, swing, double, 8' high, 14' wide",               14' wide,"Chain link gate, swing, double, 8' high, 14' wide",EA,5.333,LAB,1.5,1196.8,413.6,,"$1,610.40"
32-31-13-00-8325,"Chain link gate, swing, double, 8' high, 16' wide",               16' wide,"Chain link gate, swing, double, 8' high, 16' wide",EA,5.333,LAB,1.5,1302.4,413.6,,"$1,716.00"
32-31-13-00-8330,"Chain link gate, swing, double, 8' high, 18' wide",               18' wide,"Chain link gate, swing, double, 8' high, 18' wide",EA,6.4,LAB,1.25,1355.2,492.8,,"$1,848.00"
32-31-13-00-8335,"Chain link gate, swing, double, 8' high, 20' wide",               20' wide,"Chain link gate, swing, double, 8' high, 20' wide",EA,6.4,LAB,1.25,1408,492.8,,"$1,900.80"
32-31-13-00-8340,"Chain link gate, swing, double, 8' high, 22' wide",               22' wide,"Chain link gate, swing, double, 8' high, 22' wide",EA,6.4,LAB,1.25,1487.2,492.8,,"$1,980.00"
32-31-13-00-8345,"Chain link gate, swing, double, 8' high, 24' wide",               24' wide,"Chain link gate, swing, double, 8' high, 24' wide",EA,8,LAB,1,1654.4,616,,"$2,270.40"
32-31-13-00-8350,"Chain link gate, swing, double, 8' high, 26' wide",               26' wide,"Chain link gate, swing, double, 8' high, 26' wide",EA,8,LAB,1,1707.2,616,,"$2,323.20"
32-31-13-00-8355,"Chain link gate, swing, double, 8' high, 28' wide",               28' wide,"Chain link gate, swing, double, 8' high, 28' wide",EA,10,LAB,0.8,1812.8,774.4,,"$2,587.20"
32-31-13-00-8360,"Chain link gate, swing, double, 8' high, 30' wide",               30' wide,"Chain link gate, swing, double, 8' high, 30' wide",EA,10,LAB,0.8,1997.6,774.4,,"$2,772.00"
32-31-13-00-8505,"      Vinyl coated swing gates, 4' high","      Vinyl coated swing gates, 4' high",,,,,,,,,
32-31-13-00-8508,            Single gate,            Single gate,,,,,,,,,
32-31-13-00-8510,"Chain link gate, swing, VC, 4' high, single, 3' wide",               3' wide,"Chain link gate, swing, VC, 4' high, single, 3' wide",EA,2,LAB,4,334.4,158.4,,$492.80
32-31-13-00-8515,"Chain link gate, swing, VC, 4' high, single, 4' wide",               4' wide,"Chain link gate, swing, VC, 4' high, single, 4' wide",EA,2,LAB,4,360.8,158.4,,$519.20
32-31-13-00-8518,            Double gate,            Double gate,,,,,,,,,
32-31-13-00-8520,"Chain link gate, swing, VC, 4' high, double, 10' wide",               10' wide,"Chain link gate, swing, VC, 4' high, double, 10' wide",EA,3.2,LAB,2.5,862.4,246.4,,"$1,108.80"
32-31-13-00-8525,"Chain link gate, swing, VC, 4' high, double, 12' wide",               12' wide,"Chain link gate, swing, VC, 4' high, double, 12' wide",EA,3.2,LAB,2.5,932.8,246.4,,"$1,179.20"
32-31-13-00-8530,"Chain link gate, swing, VC, 4' high, double, 14' wide",               14' wide,"Chain link gate, swing, VC, 4' high, double, 14' wide",EA,3.2,LAB,2.5,950.4,246.4,,"$1,196.80"
32-31-13-00-8535,"Chain link gate, swing, VC, 4' high, double, 16' wide",               16' wide,"Chain link gate, swing, VC, 4' high, double, 16' wide",EA,3.2,LAB,2.5,1064.8,246.4,,"$1,311.20"
32-31-13-00-8540,"Chain link gate, swing, VC, 4' high, double, 18' wide",               18' wide,"Chain link gate, swing, VC, 4' high, double, 18' wide",EA,4.571,LAB,1.75,1144,352,,"$1,496.00"
32-31-13-00-8545,"Chain link gate, swing, VC, 4' high, double, 20' wide",               20' wide,"Chain link gate, swing, VC, 4' high, double, 20' wide",EA,4.571,LAB,1.75,1214.4,352,,"$1,566.40"
32-31-13-00-8550,"Chain link gate, swing, VC, 4' high, double, 22' wide",               22' wide,"Chain link gate, swing, VC, 4' high, double, 22' wide",EA,4.571,LAB,1.75,1355.2,352,,"$1,707.20"
32-31-13-00-8555,"Chain link gate, swing, VC, 4' high, double, 24' wide",               24' wide,"Chain link gate, swing, VC, 4' high, double, 24' wide",EA,5.333,LAB,1.5,1381.6,413.6,,"$1,795.20"
32-31-13-00-8560,"Chain link gate, swing, VC, 4' high, double, 26' wide",               26' wide,"Chain link gate, swing, VC, 4' high, double, 26' wide",EA,5.333,LAB,1.5,1443.2,413.6,,"$1,856.80"
32-31-13-00-8565,"Chain link gate, swing, VC, 4' high, double, 28' wide",               28' wide,"Chain link gate, swing, VC, 4' high, double, 28' wide",EA,6.4,LAB,1.25,1531.2,492.8,,"$2,024.00"
32-31-13-00-8570,"Chain link gate, swing, VC, 4' high, double, 30' wide",               30' wide,"Chain link gate, swing, VC, 4' high, double, 30' wide",EA,6.4,LAB,1.25,1628,492.8,,"$2,120.80"
32-31-13-00-8575,         5' high,         5' high,,,,,,,,,
32-31-13-00-8578,            Single gate,            Single gate,,,,,,,,,
32-31-13-00-8580,"Chain link gate, swing, VC, 5' high, single, 3' wide",               3' wide,"Chain link gate, swing, VC, 5' high, single, 3' wide",EA,2.667,LAB,3,343.2,202.4,,$545.60
32-31-13-00-8585,"Chain link gate, swing, VC, 5' high, single, 4' wide",               4' wide,"Chain link gate, swing, VC, 5' high, single, 4' wide",EA,2.667,LAB,3,396,202.4,,$598.40
32-31-13-00-8588,            Double gate,            Double gate,,,,,,,,,
32-31-13-00-8590,"Chain link gate, swing, VC, 5' high, double, 10' wide",               10' wide,"Chain link gate, swing, VC, 5' high, double, 10' wide",EA,4,LAB,2,932.8,308,,"$1,240.80"
32-31-13-00-8595,"Chain link gate, swing, VC, 5' high, double, 12' wide",               12' wide,"Chain link gate, swing, VC, 5' high, double, 12' wide",EA,4,LAB,2,994.4,308,,"$1,302.40"
32-31-13-00-8600,"Chain link gate, swing, VC, 5' high, double, 14' wide",               14' wide,"Chain link gate, swing, VC, 5' high, double, 14' wide",EA,4,LAB,2,1073.6,308,,"$1,381.60"
32-31-13-00-8605,"Chain link gate, swing, VC, 5' high, double, 16' wide",               16' wide,"Chain link gate, swing, VC, 5' high, double, 16' wide",EA,4,LAB,2,1117.6,308,,"$1,425.60"
32-31-13-00-8610,"Chain link gate, swing, VC, 5' high, double, 18' wide",               18' wide,"Chain link gate, swing, VC, 5' high, double, 18' wide",EA,4.571,LAB,1.75,1144,352,,"$1,496.00"
32-31-13-00-8615,"Chain link gate, swing, VC, 5' high, double, 20' wide",               20' wide,"Chain link gate, swing, VC, 5' high, double, 20' wide",EA,4.571,LAB,1.75,1302.4,352,,"$1,654.40"
32-31-13-00-8620,"Chain link gate, swing, VC, 5' high, double, 22' wide",               22' wide,"Chain link gate, swing, VC, 5' high, double, 22' wide",EA,4.571,LAB,1.75,1364,352,,"$1,716.00"
32-31-13-00-8625,"Chain link gate, swing, VC, 5' high, double, 24' wide",               24' wide,"Chain link gate, swing, VC, 5' high, double, 24' wide",EA,5.333,LAB,1.5,1425.6,413.6,,"$1,839.20"
32-31-13-00-8630,"Chain link gate, swing, VC, 5' high, double, 26' wide",               26' wide,"Chain link gate, swing, VC, 5' high, double, 26' wide",EA,5.333,LAB,1.5,1487.2,413.6,,"$1,900.80"
32-31-13-00-8635,"Chain link gate, swing, VC, 5' high, double, 28' wide",               28' wide,"Chain link gate, swing, VC, 5' high, double, 28' wide",EA,6.4,LAB,1.25,1663.2,492.8,,"$2,156.00"
32-31-13-00-8640,"Chain link gate, swing, VC, 5' high, double, 30' wide",               30' wide,"Chain link gate, swing, VC, 5' high, double, 30' wide",EA,6.4,LAB,1.25,1724.8,492.8,,"$2,217.60"
32-31-13-00-8645,         6' high,         6' high,,,,,,,,,
32-31-13-00-8648,            Single gate,            Single gate,,,,,,,,,
32-31-13-00-8650,"Chain link gate, swing, VC, 6' high, single, 3' wide",               3' wide,"Chain link gate, swing, VC, 6' high, single, 3' wide",EA,2.667,LAB,3,431.2,202.4,,$633.60
32-31-13-00-8655,"Chain link gate, swing, VC, 6' high, single, 4' wide",               4' wide,"Chain link gate, swing, VC, 6' high, single, 4' wide",EA,2.667,LAB,3,475.2,202.4,,$677.60
32-31-13-00-8658,            Double gate,            Double gate,,,,,,,,,
32-31-13-00-8660,"Chain link gate, swing, VC, 6' high, double, 10' wide",               10' wide,"Chain link gate, swing, VC, 6' high, double, 10' wide",EA,4,LAB,2,1056,308,,"$1,364.00"
32-31-13-00-8665,"Chain link gate, swing, VC, 6' high, double, 12' wide",               12' wide,"Chain link gate, swing, VC, 6' high, double, 12' wide",EA,4,LAB,2,1196.8,308,,"$1,504.80"
32-31-13-00-8670,"Chain link gate, swing, VC, 6' high, double, 14' wide",               14' wide,"Chain link gate, swing, VC, 6' high, double, 14' wide",EA,4,LAB,2,1267.2,308,,"$1,575.20"
32-31-13-00-8675,"Chain link gate, swing, VC, 6' high, double, 16' wide",               16' wide,"Chain link gate, swing, VC, 6' high, double, 16' wide",EA,4,LAB,2,1364,308,,"$1,672.00"
32-31-13-00-8680,"Chain link gate, swing, VC, 6' high, double, 18' wide",               18' wide,"Chain link gate, swing, VC, 6' high, double, 18' wide",EA,4.571,LAB,1.75,1460.8,352,,"$1,812.80"
32-31-13-00-8685,"Chain link gate, swing, VC, 6' high, double, 20' wide",               20' wide,"Chain link gate, swing, VC, 6' high, double, 20' wide",EA,4.571,LAB,1.75,1513.6,352,,"$1,865.60"
32-31-13-00-8690,"Chain link gate, swing, VC, 6' high, double, 22' wide",               22' wide,"Chain link gate, swing, VC, 6' high, double, 22' wide",EA,4.571,LAB,1.75,1619.2,352,,"$1,971.20"
32-31-13-00-8695,"Chain link gate, swing, VC, 6' high, double, 24' wide",               24' wide,"Chain link gate, swing, VC, 6' high, double, 24' wide",EA,5.333,LAB,1.5,1742.4,413.6,,"$2,156.00"
32-31-13-00-8698,"Chain link gate, swing, VC, 6' high, double, 26' wide",               26' wide,"Chain link gate, swing, VC, 6' high, double, 26' wide",EA,5.333,LAB,1.5,1795.2,413.6,,"$2,208.80"
32-31-13-00-8700,"Chain link gate, swing, VC, 6' high, double, 28' wide",               28' wide,"Chain link gate, swing, VC, 6' high, double, 28' wide",EA,6.4,LAB,1.25,1944.8,492.8,,"$2,437.60"
32-31-13-00-8705,"Chain link gate, swing, VC, 6' high, double, 30' wide",               30' wide,"Chain link gate, swing, VC, 6' high, double, 30' wide",EA,6.4,LAB,1.25,2050.4,492.8,,"$2,543.20"
32-31-13-00-8710,         7' high,         7' high,,,,,,,,,
32-31-13-00-8713,            Single gate,            Single gate,,,,,,,,,
32-31-13-00-8715,"Chain link gate, swing, VC, 7' high, single, 3' wide",               3' wide,"Chain link gate, swing, VC, 7' high, single, 3' wide",EA,4,LAB,2,536.8,308,,$844.80
32-31-13-00-8720,"Chain link gate, swing, VC, 7' high, single, 4' wide",               4' wide,"Chain link gate, swing, VC, 7' high, single, 4' wide",EA,4,LAB,2,598.4,308,,$906.40
32-31-13-00-8723,            Double gate,            Double gate,,,,,,,,,
32-31-13-00-8725,"Chain link gate, swing, VC, 7' high, double, 10' wide",               10' wide,"Chain link gate, swing, VC, 7' high, double, 10' wide",EA,5.333,LAB,1.5,1381.6,413.6,,"$1,795.20"
32-31-13-00-8730,"Chain link gate, swing, VC, 7' high, double, 12' wide",               12' wide,"Chain link gate, swing, VC, 7' high, double, 12' wide",EA,5.333,LAB,1.5,1504.8,413.6,,"$1,918.40"
